Data Start;
LT; 45,45,35
RT; 45,45,35
Pos; -49.00,17.00,180.00
Pos; -49.00,17.00,180.01
Pos; -49.00,17.45,180.31
Pos; -48.99,18.10,180.60
Pos; -48.97,19.44,181.06
Pos; -48.95,20.62,181.09
Pos; -48.91,22.63,181.32
Pos; -48.87,24.19,181.58
Pos; -48.79,26.65,182.37
Pos; -48.69,28.49,183.85
Pos; -48.47,31.13,185.80
Pos; -48.29,32.35,191.33
Pos; -47.74,34.42,199.39
Pos; -47.34,35.23,213.28
Pos; -46.81,35.85,230.37
Pos; -46.53,36.03,246.75
Pos; -46.54,36.04,264.23
Pos; -46.78,36.04,273.50
Pos; -47.22,36.08,277.20
Pos; -47.64,36.14,278.37
Pos; -48.34,36.24,277.89
Pos; -48.83,36.30,276.26
Pos; -49.54,36.37,274.35
Pos; -50.04,36.40,272.30
Pos; -50.74,36.42,270.62
Pos; -51.23,36.42,270.00
Pos; -51.80,36.42,270.34
Pos; -51.97,36.42,270.28
Pos; -52.39,36.42,269.36
Pos; -52.81,36.41,269.25
Pos; -53.54,36.40,269.08
Pos; -53.69,36.40,270.23
Pos; -53.66,36.40,269.87
Pos; -53.66,36.40,269.94
Pos; -53.66,36.40,269.89
Pos; -53.66,36.40,269.90
Pos; -53.66,36.40,269.92
Pos; -53.66,36.40,269.93
Pos; -53.66,36.40,269.91
Pos; -53.66,36.40,269.92
Pos; -53.66,36.40,269.92
Pos; -53.66,36.40,269.93
Pos; -53.66,36.40,269.94
Pos; -53.66,36.40,269.92
Pos; -53.54,36.40,269.78
Pos; -52.81,43.17,269.50
Pos; -52.26,43.17,269.13
Pos; -51.27,43.21,267.12
Pos; -50.54,43.26,264.49
Pos; -49.19,43.41,262.84
Pos; -48.13,43.56,261.46
Pos; -46.31,43.85,260.34
Pos; -44.93,44.10,259.51
Pos; -42.72,44.52,258.82
Pos; -41.09,44.85,258.33
Pos; -38.48,45.39,258.30
Pos; -36.74,45.75,258.56
Pos; -33.92,46.30,259.24
Pos; -31.94,46.67,259.76
Pos; -29.07,47.18,259.96
Pos; -27.76,47.40,264.22
Pos; -27.03,47.42,273.41
Pos; -26.53,47.34,283.10
Pos; -26.51,47.34,285.67
Pos; -26.48,47.33,285.08
Pos; -26.48,47.33,284.62
Pos; -26.49,47.33,284.43
Pos; -26.50,47.33,284.53
Pos; -26.50,47.33,284.40
Pos; -26.50,47.33,284.45
Pos; -26.50,47.33,284.42
Pos; -26.50,47.33,284.41
Pos; -26.50,47.33,284.35
Pos; -26.51,47.34,284.04
Pos; -26.51,47.34,284.02
Pos; -26.51,47.34,284.05
Pos; -26.51,47.34,283.95
Pos; -26.51,47.34,283.93
Pos; -26.51,50.17,283.94
Pos; -26.51,50.17,283.62
Pos; -26.66,50.20,280.67
Pos; -26.86,50.22,273.51
Pos; -27.29,50.22,266.43
Pos; -28.06,50.12,258.40
Pos; -28.79,49.91,251.15
Pos; -30.02,49.37,241.66
Pos; -30.92,48.77,232.14
Pos; -32.13,47.65,221.36
Pos; -32.77,46.73,207.34
Pos; -33.35,45.14,192.43
Pos; -33.45,43.96,176.81
Pos; -33.11,42.25,161.36
Pos; -32.67,41.31,148.18
Pos; -31.68,39.99,139.32
Pos; -31.01,39.28,135.25
Pos; -29.91,38.15,136.35
Pos; -29.18,37.34,139.51
Pos; -27.74,35.50,144.55
Pos; -26.87,34.16,148.98
Pos; -25.53,31.78,152.16
Pos; -24.64,30.05,152.92
Pos; -23.34,27.52,152.20
Pos; -22.40,25.81,150.63
Pos; -20.94,23.32,148.40
Pos; -20.11,22.06,144.46
Pos; -19.36,21.07,141.80
Pos; -19.12,20.75,142.40
Pos; -18.86,20.42,143.30
Pos; -18.74,20.26,141.92
Pos; -18.88,20.43,142.13
Pos; -19.00,20.59,142.25
Pos; -19.36,21.05,142.28
Pos; -19.68,21.47,142.24
Pos; -20.27,22.23,142.04
Pos; -20.73,22.82,141.84
Pos; -21.47,23.75,141.70
Pos; -21.98,24.40,141.64
Pos; -22.80,25.43,141.57
Pos; -23.37,26.15,141.54
Pos; -24.23,27.24,141.58
Pos; -24.79,27.95,141.54
Pos; -25.69,29.08,141.48
Pos; -26.29,29.83,141.46
Pos; -27.20,30.98,141.46
Pos; -27.79,31.71,141.44
Pos; -28.71,32.86,141.40
Pos; -29.32,33.63,141.41
Pos; -30.24,34.79,141.42
Pos; -30.83,35.53,141.36
