


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        4.2.1     Platform:  V1.1.5 (b18)     Uptime:    0.000 s
Compiled:   Apr 12 2026 19:43:23     Directory:                        


Data Start;
LT; 35.00,35.00,30.00
RT; 35.00,35.00,35.00
IT1; 35.00
IT2; 35.00
Pos; -40.00,56.34,269.99
Pos; -40.00,56.30,270.00
Pos; -40.00,56.30,270.00
Pos; -40.00,56.30,270.00
Pos; -40.00,56.30,270.00
Pos; -40.00,56.26,270.01
Pos; -40.00,56.30,270.01
Pos; -40.00,56.30,270.02
Pos; -40.00,56.30,270.03
Pos; -40.00,56.30,270.04
Pos; -40.00,56.34,270.05
Pos; -40.00,56.30,270.06
Pos; -40.00,56.30,270.07
Pos; -40.00,56.30,270.08
Pos; -40.00,56.30,270.09
Pos; -40.00,56.37,270.10
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.37,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.26,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.26,270.11
Pos; -40.00,56.26,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.26,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.26,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.26,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.26,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.33,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
Pos; -40.00,56.30,270.11
